X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8
-48.544167604060853,-27.590573637404344,838527,10044,2107979913,742456.81,6945785.7,742457.27,6945775.56,
-48.544463666822885,-27.590535295460981,838535,5022,2107974630,742427.66,6945790.53,742429.78,6945779.79,
-48.54456491826496,-27.590608910662485,838543,5022,2114834029,742417.5,6945782.57,742418.59,6945769.89,
-48.544956828473239,-27.590514064956739,838586,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838594,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838624,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838632,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838640,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838667,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838675,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838683,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838691,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.544956828473239,-27.590514064956739,838705,8154,2107974648,742379.01,6945793.85,742378.61,6945780.11,
-48.545296941170768,-27.590489493748589,838780,8154,2107974665,742345.48,6945797.24,742344.86,6945789.05,
-48.545929108565964,-27.590506449993988,838799,8154,2107974685,742283.02,6945796.6,742283.62,6945781.16,
-48.545929108565964,-27.590506449993988,838802,8154,2107974685,742283.02,6945796.6,742283.62,6945781.16,
-48.546207998322117,-27.590529788996101,838810,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838829,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838837,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838845,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838853,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838861,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838888,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838896,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838900,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838918,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838934,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838942,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838950,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838969,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838977,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
-48.546207998322117,-27.590529788996101,838985,7548,2107974687,742255.43,6945794.56,742255.43,6945786.97,
