839540	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839558	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839566	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839574	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839590	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839604	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839612	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839620	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839639	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839647	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839655	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839663	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839671	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839680	5040	2108002427	742356.58	6945690.52	742357.47	6945678.71
839698	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839701	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839710	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839728	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839736	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839744	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839752	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839760	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839779	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839787	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839795	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839817	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839825	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839833	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839841	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839850	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839868	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839876	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839884	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839892	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839906	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839914	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839922	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839930	5040	2108002460	742361.02	6945690.52	742363.33	6945677.02
839949	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
839957	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
839965	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
839973	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
839981	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
839990	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840009	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840017	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840025	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840033	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840041	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840050	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
840068	5040	2108003219	742352.7	6945690.25	742351.68	6945679.29
