X,Y,Name,Description
-0.000436083345819,-0.000247849768294,,
-0.00043608263615,-0.000247850361188,,
-0.00043608861893,-0.000247849067618,,
-0.00043608776553,-0.000247849337113,,
-0.00043608893334,-0.000247849130504,,
-0.00043608796316,-0.000247849750331,,
-0.000436088699778,-0.000247850648647,,
-0.000436089077071,-0.000247850019825,,
-0.000436088978256,-0.000247850379152,,
-0.000436087469086,-0.00024784987609,,
-0.000436089032155,-0.00024785066661,,
-0.000436089229784,-0.00024784999288,,
-0.000436088286553,-0.000247849651517,,
-0.000436088160789,-0.000247849588631,,
-0.000436088942323,-0.000247849480836,,
-0.000436098096156,-0.00024785020847,,
-0.000436098805825,-0.000247849750331,,
-0.000436097494285,-0.000247849399986,,
-0.000436097970392,-0.000247850298302,,
-0.000436097332588,-0.000247849534727,,
-0.000436097188858,-0.000247849184395,,
-0.000436097934459,-0.000247850585761,,
-0.00043609807819,-0.000247850424074,,
-0.000436097359537,-0.000247850468983,,
-0.000436097503268,-0.000247849328131,,
-0.000436097116992,-0.000247849049654,,
-0.000436097808695,-0.000247850136603,,
-0.000436098428533,-0.000247850307284,,
-0.00043609739547,-0.000247850801364,,
-0.000436098230903,-0.000247850675592,,
-0.000436097691914,-0.00024785074746,,
-0.000436098886673,-0.000247849193377,,
-0.00043609756615,-0.000247852606965,,
-0.000436097000211,-0.000247851852397,,
-0.000436096551054,-0.000247851789511,,
-0.000436097188858,-0.000247852723755,,
-0.000436096721734,-0.000247852256633,,
-0.000436097233773,-0.000247851385263,,
-0.000436096721734,-0.000247852903418,,
-0.000436096982245,-0.000247852400356,,
-0.0004360967397,-0.00024785199612,,
-0.000436097036144,-0.000247852445278,,
-0.000436097790729,-0.000247852687815,,
-0.000436097296655,-0.00024785165477,,
-0.000436097134959,-0.000247851313408,,
-0.00043609671275,-0.000247852472224,,
-0.000436097754796,-0.000247851915283,,
-0.000436097179874,-0.000247852984268,,
-0.000436096802582,-0.000247852184778,,
-0.000436097799712,-0.000247851385263,,
-0.000436097808695,-0.000247851466113,,
-0.000436098275819,-0.000247853927506,,
-0.000436098751926,-0.000247854340723,,
-0.000436097377504,-0.000247856811086,,
-0.000436093658478,-0.000247856577531,,
-0.000436092463719,-0.000247857107539,,
-0.000436093595596,-0.000247857835173,,
-0.000436088097907,-0.000247858158572,,
-0.000436089283683,-0.00024785811365,,
-0.00043608825062,-0.000247858284319,,
-0.000436089059104,-0.000247857996873,,
-0.000436088340452,-0.00024785765551,,
-0.000436088268587,-0.000247858158572,,
-0.000436089337582,-0.000247858356186,,
-0.000436088061974,-0.00024785894908,,
-0.000436088636896,-0.000247857826192,,
-0.000436088798593,-0.000247858823308,,
-0.000436087855362,-0.00024785735907,,
-0.000436088574014,-0.000247858392127,,
-0.000436088717744,-0.000247858338223,,
-0.000436088044008,-0.000247858446018,,
-0.000436088744694,-0.000247858526868,,
-0.000436087801463,-0.000247858481958,,
-0.000436088232654,-0.000247857996873,,
-0.000436089211818,-0.000247857646528,,
-0.000436088052991,-0.000247858302282,,
-0.000436088663845,-0.000247857412961,,
-0.000436089517245,-0.000247857224316,,
-0.000436088538081,-0.000247858922134,,
-0.000436088609947,-0.000247858670603,,
-0.000436088044008,-0.000247857889077,,
-0.000436088385368,-0.000247858661621,,
-0.000436088052991,-0.000247858796363,,
-0.000436089364531,-0.000247857682456,,
-0.000436088996222,-0.00024785732313,,
-0.000436089050121,-0.000247858410091,,
-0.000436089310633,-0.000247857700432,,
-0.000436088061974,-0.000247857745342,,
-0.000436088484182,-0.000247857673474,,
-0.000436089113003,-0.000247858751453,,
-0.000436089562161,-0.000247858904158,,
-0.000436088115873,-0.000247857484829,,
-0.000436089184868,-0.000247858805344,,
-0.000436088565031,-0.000247858985008,,
-0.000436089355548,-0.000247858194487,,
-0.000436088214688,-0.000247857781282,,
-0.000436088582997,-0.000247858886194,,
-0.000436088780626,-0.000247858652627,,
-0.000436088313503,-0.00024785849094,,
-0.000436088780626,-0.000247858598736,,
-0.000436088529098,-0.000247858059759,,
